datetime,qasm,rl,qiskit,rl_qiskit,result,iter,checkpoint,remark
,,87,82,118,,,,
,,86,90,118,,,,
,,85,80,120,,,,
,,87,90,120,,,,
,,87,88,114,,,,
,,85,93,109,,,,
,,89,88,112,,,,
,,89,81,113,,,,
,,85,88,114,,,,
,,85,88,116,,,,
,,86.5,86.8,115.4,,,,
2023-12-25_02-27,qnn/qnn_indep_qiskit_6.qasm,86.5,115.4,86.8,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1]",200,/home/lit/ray_results/PPO_2023-12-25_02-27-26/PPO_CircuitEnvTest_v4_0d9ed_00000_0_2023-12-25_02-27-26/checkpoint_000000,
,,102,111,152,,,,
,,102,105,135,,,,
,,102,99,146,,,,
,,101,106,143,,,,
,,101,107,140,,,,
,,102,105,160,,,,
,,101,95,139,,,,
,,102,95,165,,,,
,,102,102,148,,,,
,,101,97,149,,,,
,,101.6,102.2,147.7,,,,
2023-12-25_02-27,qnn/qnn_indep_qiskit_7.qasm,101.6,147.7,102.2,"[1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1]",200,/home/lit/ray_results/PPO_2023-12-25_03-09-25/PPO_CircuitEnvTest_v4_eafcf_00000_0_2023-12-25_03-09-25/checkpoint_000000,
,,114,124,163,,,,
,,114,147,187,,,,
,,114,127,128,,,,
,,114,127,195,,,,
,,114,131,168,,,,
,,114,112,190,,,,
,,114,130,191,,,,
,,114,115,206,,,,
,,114,131,151,,,,
,,114,141,209,,,,
,,114,128.5,178.8,,,,
2023-12-25_02-27,qnn/qnn_indep_qiskit_8.qasm,114,178.8,128.5,"[1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1]",200,/home/lit/ray_results/PPO_2023-12-25_03-56-10/PPO_CircuitEnvTest_v4_7337f_00000_0_2023-12-25_03-56-10/checkpoint_000000,
,,165,169,228,,,,
,,165,164,208,,,,
,,168,173,219,,,,
,,165,162,201,,,,
,,165,174,224,,,,
,,165,192,244,,,,
,,165,182,207,,,,
,,165,158,219,,,,
,,165,189,193,,,,
,,168,185,235,,,,
,,165.6,174.8,217.8,,,,
2023-12-25_02-27,qnn/qnn_indep_qiskit_9.qasm,165.6,217.8,174.8,"[1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1]",200,/home/lit/ray_results/PPO_2023-12-25_04-45-31/PPO_CircuitEnvTest_v4_57ded_00000_0_2023-12-25_04-45-31/checkpoint_000000,
,,184,203,224,,,,
,,184,189,242,,,,
,,184,202,270,,,,
,,184,185,247,,,,
,,184,197,270,,,,
,,184,185,226,,,,
,,184,175,233,,,,
,,184,198,168,,,,
,,184,195,264,,,,
,,184,194,249,,,,
,,184,192.3,239.3,,,,
2023-12-25_02-27,qnn/qnn_indep_qiskit_10.qasm,184,239.3,192.3,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]",200,/home/lit/ray_results/PPO_2023-12-25_05-38-23/PPO_CircuitEnvTest_v4_ba828_00000_0_2023-12-25_05-38-23/checkpoint_000000,
