Wall time,Step,Value
1712390265.51125,4000,37.43552017211914
1712390383.7115343,8000,33.85677719116211
1712390506.587644,12000,32.57084274291992
1712390626.1469862,16000,33.47269058227539
1712390751.5238557,20000,31.921476364135742
1712390878.487633,24000,31.524471282958984
1712391006.5958436,28000,31.240278244018555
1712391157.4548743,32000,26.528234481811523
1712391290.2075331,36000,30.147693634033203
1712391427.8434904,40000,29.07558822631836
1712391570.9704964,44000,27.961244583129883
1712391711.995134,48000,28.37774085998535
1712391857.9707382,52000,27.415210723876953
1712392020.9368935,56000,24.556615829467773
1712392184.8956525,60000,24.40735626220703
1712392344.942338,64000,25.005672454833984
1712392499.7061687,68000,25.85987663269043
1712392642.594045,72000,28.006559371948242
1712392795.3320394,76000,26.200511932373047
1712392955.725818,80000,24.947927474975586
1712393120.764416,84000,24.248889923095703
1712393288.7141676,88000,23.82666015625
1712393457.312119,92000,23.734769821166992
1712393618.4300761,96000,24.837692260742188
1712393791.2114227,100000,23.1597843170166
1712393953.0246656,104000,24.731191635131836
1712394120.9719296,108000,23.827613830566406
1712394291.9332898,112000,23.407102584838867
1712394446.7914872,116000,25.84473991394043
1712394614.2540727,120000,23.898517608642578
1712394781.37184,124000,23.947179794311523
1712394951.2570677,128000,23.555627822875977
1712395121.3398468,132000,23.526914596557617
1712395293.0475144,136000,23.305395126342773
1712395464.6430335,140000,23.321401596069336
1712395632.940355,144000,23.776817321777344
1712395809.7043483,148000,22.637916564941406
1712395977.4818232,152000,23.8553409576416
1712396146.5767288,156000,23.66648292541504
1712396312.8016028,160000,24.07567024230957
1712396478.9421854,164000,24.08755874633789
1712396639.99768,168000,24.847116470336914
1712396800.3324492,172000,24.95906639099121
1712396965.0926335,176000,24.288345336914062
1712397131.8527176,180000,23.9967098236084
1712397285.6946297,184000,26.015520095825195
1712397443.834426,188000,25.307445526123047
1712397599.015132,192000,25.790538787841797
1712397754.3263214,196000,25.768083572387695
1712397902.9242492,200000,26.934885025024414
1712398055.947203,204000,26.158906936645508
1712398211.240166,208000,25.771833419799805
1712398363.45379,212000,26.294322967529297
1712398516.168085,216000,26.206512451171875
1712398664.7559013,220000,26.938539505004883
1712398810.302569,224000,27.500404357910156
1712398959.622163,228000,26.80434799194336
1712399109.1986156,232000,26.758028030395508
1712399257.8487918,236000,26.9285888671875
1712399407.8144147,240000,26.689149856567383
