datetime,qasm,rl,qiskit,mix,result,iter,checkpoint,remark
,,108,107,94,,,,
,,102,107,65,,,,
,,108,107,95,,,,
,,108,113,94,,,,
,,102,113,94,,,,
,,102,107,95,,,,
,,102,113,95,,,,
,,108,113,92,,,,
,,108,113,95,,,,
,,108,107,94,,,,
,,105.6,110,91.3,,,,
2024-01-01_21-28,su2/su2random_indep_qiskit_6.qasm,105.6,110,91.3,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",550,/home/lit/ray_results/PPO_2024-01-01_21-28-52/PPO_CircuitEnvTest_v5_ab7fd_00000_0_2024-01-01_21-28-52/checkpoint_000000,PPO_2024-01-01_21-28-52
,,123,120,133,110,,,
,,123,120,132,,,,
,,117,117,125,,,,
,,126,121,125,,,,
,,117,116,123,,,,
,,130,119,117,,,,
,,135,126,116,,,,
,,117,119,125,,,,
,,140,124,123,,,,
,,128,123,112,,,,
,,125.6,120.5,123.1,,,,
2024-01-01_21-28,su2/su2random_indep_qiskit_7.qasm,125.6,120.5,123.1,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",550,/home/lit/ray_results/PPO_2024-01-01_23-38-20/PPO_CircuitEnvTest_v5_c1628_00000_0_2024-01-01_23-38-20/checkpoint_000000,PPO_2024-01-01_23-38-20
,,184,167,158,,,,
,,188,162,165,,,,
,,171,167,167,,,,
,,184,162,166,,,,
,,195,162,151,,,,
,,180,162,161,,,,
,,175,167,165,,,,
,,187,167,107,,,,
,,184,162,166,,,,
,,175,167,152,,,,
,,182.3,164.5,155.8,,,,
2024-01-01_21-28,su2/su2random_indep_qiskit_8.qasm,182.3,164.5,155.8,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",550,/home/lit/ray_results/PPO_2024-01-02_01-52-30/PPO_CircuitEnvTest_v5_7fbd6_00000_0_2024-01-02_01-52-30/checkpoint_000000,PPO_2024-01-02_01-52-30
,,226,172,192,,,,
,,223,172,169,,,,
,,226,165,188,,,,
,,227,172,177,,,,
,,242,172,193,,,,
,,237,165,187,,,,
,,229,172,174,,,,
,,225,165,179,,,,
,,230,159,177,,,,
,,242,172,199,,,,
,,230.7,168.6,183.5,,,,
2024-01-01_21-28,su2/su2random_indep_qiskit_9.qasm,230.7,168.6,183.5,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",550,/home/lit/ray_results/PPO_2024-01-02_04-16-44/PPO_CircuitEnvTest_v5_a614f_00000_0_2024-01-02_04-16-44/checkpoint_000000,PPO_2024-01-02_04-16-44
,,180,184,225,,,,
,,192,184,151,,,,
,,179,184,159,,,,
,,180,184,201,,,,
,,180,184,226,,,,
,,179,184,176,,,,
,,188,184,168,,,,
,,180,184,181,,,,
,,180,184,174,,,,
,,188,184,163,,,,
,,182.6,184,182.4,,,,
2024-01-01_21-28,su2/su2random_indep_qiskit_10.qasm,182.6,184,182.4,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",550,/home/lit/ray_results/PPO_2024-01-02_06-49-00/PPO_CircuitEnvTest_v5_eb08a_00000_0_2024-01-02_06-49-00/checkpoint_000000,PPO_2024-01-02_06-49-00
