Wall time,Step,Value
1712373179.5628114,4000,182.01719665527344
1712373358.267016,8000,178.6661834716797
1712373525.4705582,12000,167.16712951660156
1712373671.481539,16000,145.96820068359375
1712373836.6092224,20000,165.08798217773438
1712373991.2199035,24000,154.57473754882812
1712374140.4093146,28000,149.1531982421875
1712374281.7929158,32000,141.34188842773438
1712374424.4396887,36000,142.60986328125
1712374560.8198802,40000,136.34524536132812
1712374703.4526293,44000,142.59349060058594
1712374835.9928684,48000,132.50299072265625
1712374971.5448053,52000,135.5133514404297
1712375099.8656921,56000,128.28668212890625
1712375223.8370311,60000,123.93181610107422
1712375363.5102482,64000,139.63714599609375
1712375493.927886,68000,130.38145446777344
1712375609.6125493,72000,115.64691162109375
1712375735.9347239,76000,126.28681945800781
1712375855.9213521,80000,119.94693756103516
1712375979.3662205,84000,123.41156005859375
1712376090.4241626,88000,111.02154541015625
1712376217.332222,92000,126.8724365234375
1712376341.0670693,96000,123.70198822021484
1712376449.1505551,100000,108.04368591308594
1712376556.203747,104000,107.01690673828125
1712376666.8888133,108000,110.65052032470703
1712376771.2514653,112000,104.32550811767578
1712376879.476971,116000,108.19017791748047
1712377001.5207949,120000,122.00692749023438
1712377105.1147046,124000,103.55972290039062
1712377206.663519,128000,101.51304626464844
1712377318.3331888,132000,111.62864685058594
1712377422.0887723,136000,103.72109985351562
1712377526.3712637,140000,104.24442291259766
1712377632.67431,144000,106.2650375366211
1712377733.8586178,148000,101.1407470703125
1712377835.909875,152000,102.00907135009766
1712377939.473006,156000,103.52477264404297
1712378039.324153,160000,99.81192016601562
1712378144.3290312,164000,104.96678161621094
1712378254.8023434,168000,110.43472290039062
1712378354.7191486,172000,99.87548828125
1712378453.0883894,176000,98.3287124633789
1712378558.314396,180000,105.17913055419922
1712378665.2833629,184000,106.92695617675781
1712378776.1384082,188000,110.81480407714844
1712378888.0562077,192000,111.87486267089844
1712378997.4688978,196000,109.36437225341797
1712379101.7380972,200000,104.22701263427734
1712379210.3948784,204000,108.61009979248047
1712379325.2685988,208000,114.82762908935547
1712379431.9282544,212000,106.61372375488281
1712379537.3077226,216000,105.33488464355469
1712379635.4571404,220000,98.10111236572266
1712379746.1699574,224000,110.66947174072266
1712379850.1941283,228000,103.98066711425781
1712379955.2765589,232000,105.03772735595703
1712380067.7162461,236000,112.39112091064453
1712380175.226714,240000,107.46435546875
