datetime,qasm,rl,qiskit,mix,result,iter,checkpoint,remark
,,256,278,231,,,,
,,250,234,231,,,,
,,250,222,231,,,,
,,256,228,231,,,,
,,250,313,231,,,,
,,256,255,231,,,,
,,277,295,231,,,,
,,268,226,231,,,,
,,271,272,231,,,,
,,250,273,231,,,,
,,258.4,259.6,231,,,,
2024-01-03_23-39,portfolio_vqe/portfoliovqe_indep_qiskit_10.qasm,258.4,259.6,231,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",300,/home/lit/ray_results/PPO_2024-01-03_23-39-09/PPO_CircuitEnvTest_v5_3cbea_00000_0_2024-01-03_23-39-09/checkpoint_000000,PPO_2024-01-03_23-39-09
,,277,350,258,,,,
,,278,290,257,,,,
,,278,324,261,,,,
,,281,347,257,,,,
,,278,344,264,,,,
,,281,340,259,,,,
,,284,264,264,,,,
,,281,259,263,,,,
,,278,331,260,,,,
,,279,281,264,,,,
,,279.5,313,260.7,,,,
2024-01-04_01-14,portfolio_vqe/portfoliovqe_indep_qiskit_11.qasm,279.5,313,260.7,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",300,/home/lit/ray_results/PPO_2024-01-04_01-14-18/PPO_CircuitEnvTest_v5_87a29_00000_0_2024-01-04_01-14-18/checkpoint_000000,PPO_2024-01-04_01-14-18
