Wall time,Step,Value,
1712390266,4000,94.50683594,
1712390384,8000,100.7462656,
1712390507,12000,104.3218203,
1712390626,16000,105.0932188,
1712390752,20000,106.9028438,
1712390878,24000,108.108,
1712391007,28000,109.0402969,
1712391157,32000,112.7295547,
1712391290,36000,113.5785938,
1712391428,40000,114.7255469,
1712391571,44000,118.3356875,
1712391712,48000,120.5955859,
1712391858,52000,122.9067422,
1712392021,56000,127.3271094,
1712392185,60000,131.0311484,
1712392345,64000,134.4589375,
1712392500,68000,137.1861875,
1712392643,72000,136.4716406,
1712392795,76000,138.5577656,
1712392956,80000,140.9322656,
1712393121,84000,143.2201719,
1712393289,88000,145.9005156,
1712393457,92000,148.1180156,
1712393618,96000,147.7724844,
1712393791,100000,148.6126563,
1712393953,104000,148.6455156,
1712394121,108000,150.0435156,
1712394292,112000,152.6924844,
1712394447,116000,152.7118906,
1712394614,120000,153.35975,
1712394781,124000,153.4755781,
1712394951,128000,153.4775938,
1712395121,132000,153.58975,
1712395293,136000,154.6094531,
1712395465,140000,154.4766406,
1712395633,144000,155.065875,
1712395810,148000,155.7576563,
1712395977,152000,155.3615938,
1712396147,156000,156.7449219,
1712396313,160000,156.4387656,
1712396479,164000,156.1399688,
1712396640,168000,155.2851719,
1712396800,172000,154.2246094,
1712396965,176000,153.5323594,
1712397132,180000,152.903125,
1712397286,184000,151.4391563,
1712397444,188000,149.4451094,
1712397599,192000,148.036875,
1712397754,196000,146.494875,
1712397903,200000,144.5876563,
1712398056,204000,143.2715313,
1712398211,208000,142.4477188,
1712398363,212000,141.3770469,
1712398516,216000,139.9490938,
1712398665,220000,138.1551563,
1712398810,224000,137.2603906,
1712398960,228000,136.3382188,
1712399109,232000,135.746,
1712399258,236000,135.0474375,
1712399408,240000,135.1767031,
